normalized_query,mapping_state,owner_row_id,topic,locale,proposed_primary_owner,current_owner,current28_impressions,non_owner_impressions,non_owner_share,page_count,public_canonical_count,decision,actionable_owner_conflict,evidence_status
9型人格测试免费,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,12.0,0,0.000000,2,1,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格免费测试,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,28.0,0,0.000000,2,1,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格测试,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,125.0,1.0,0.008000,3,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格测试免費,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,4.0,0,0.000000,2,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格测试免费,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,38.0,0,0.000000,2,1,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格測試,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,15.0,0,0.000000,2,1,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格測試免費,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,6.0,0,0.000000,2,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格測驗,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,1.0,0,0.000000,2,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
九型人格測驗免費,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,3.0,0,0.000000,2,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
iq 测试,REVIEWED_EXACT_ALIAS,17,IQ,zh,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,5.0,2.0,0.400000,2,2,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
iq测试,REVIEWED_EXACT_ALIAS,17,IQ,zh,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/articles/iq-test-tool-guide,2.0,2.0,1.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
智商 测试,REVIEWED_EXACT_ALIAS,17,IQ,zh,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,3.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
智商测试,REVIEWED_EXACT_ALIAS,17,IQ,zh,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,6.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
iq測試準嗎,REVIEWED_EXACT_ALIAS,18,IQ,zh,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,1.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
智商测试分数,REVIEWED_EXACT_ALIAS,18,IQ,zh,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,2.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
智商測驗準嗎,REVIEWED_EXACT_ALIAS,18,IQ,zh,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,2.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
iq test,REVIEWED_EXACT_ALIAS,19,IQ,en,https://fermatmind.com/en/tests/iq-test-intelligence-quotient-assessment,Unknown,Unknown,Unknown,Unknown,0,0,UNKNOWN_NO_CURRENT28_ROW,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
eq 测试,REVIEWED_EXACT_ALIAS,20,EQ,zh,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,1.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
eq测试,REVIEWED_EXACT_ALIAS,20,EQ,zh,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,1.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
情商测试,REVIEWED_EXACT_ALIAS,20,EQ,zh,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,7.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
情商测试免费,REVIEWED_EXACT_ALIAS,20,EQ,zh,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,1.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
情商测试题,REVIEWED_EXACT_ALIAS,20,EQ,zh,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,2.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
eq test,REVIEWED_EXACT_ALIAS,22,EQ,en,https://fermatmind.com/en/tests/eq-test-emotional-intelligence-assessment,Unknown,0,0,0.000000,1,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
16型人格,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/articles/mbti-basics,10.0,Unknown,Unknown,2,2,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
big five ocean,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/articles/big-five-tool-guide,3.0,Unknown,Unknown,2,2,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
mbti,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,6.0,Unknown,Unknown,3,2,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
mbti 16型人格,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/articles/mbti-basics,8.0,Unknown,Unknown,2,2,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
mbti结果,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,3.0,Unknown,Unknown,3,3,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
site:fermatmind.com,OPERATOR_QUERY_EXCLUDED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/,408.0,Unknown,Unknown,168,11,OPERATOR_QUERY_EXCLUDED,false,VERIFIED_RETAINED_EXCLUDED_FROM_ACTION
人格测试,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,6.0,Unknown,Unknown,2,2,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
职业兴趣测试,UNMAPPED,Unknown,Unknown,Unknown,Unknown,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,7.0,Unknown,Unknown,2,2,MULTI_PAGE_UNMAPPED,false,VERIFIED_OBSERVATION_OWNER_NOT_INFERRED
