slug,locale,missing_intent,priority
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,career-path,medium
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,skills,medium
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,AI-impact,low
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,fit,low
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,adjacent,low
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,education,low
helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters,en,certification,low
helpers-carpenters,zh-CN,what-is,high
helpers-carpenters,zh-CN,salary,low
helpers-carpenters,zh-CN,career-path,medium
helpers-carpenters,zh-CN,skills,medium
helpers-carpenters,zh-CN,AI-impact,low
helpers-carpenters,zh-CN,fit,low
helpers-carpenters,zh-CN,adjacent,low
helpers-carpenters,zh-CN,education,low
helpers-carpenters,zh-CN,certification,low
helpers-carpenters,en,what-is,high
helpers-carpenters,en,salary,low
helpers-carpenters,en,career-path,medium
helpers-carpenters,en,skills,medium
helpers-carpenters,en,AI-impact,low
helpers-carpenters,en,fit,low
helpers-carpenters,en,adjacent,low
helpers-carpenters,en,education,low
helpers-carpenters,en,certification,low
helpers-electricians,zh-CN,what-is,high
helpers-electricians,zh-CN,salary,low
helpers-electricians,zh-CN,career-path,medium
helpers-electricians,zh-CN,skills,medium
helpers-electricians,zh-CN,AI-impact,low
helpers-electricians,zh-CN,fit,low
helpers-electricians,zh-CN,adjacent,low
helpers-electricians,zh-CN,education,low
helpers-electricians,zh-CN,certification,low
helpers-electricians,en,what-is,high
helpers-electricians,en,salary,low
helpers-electricians,en,career-path,medium
helpers-electricians,en,skills,medium
helpers-electricians,en,AI-impact,low
helpers-electricians,en,fit,low
helpers-electricians,en,adjacent,low
helpers-electricians,en,education,low
helpers-electricians,en,certification,low
helpers-extraction-workers,zh-CN,what-is,high
helpers-extraction-workers,zh-CN,salary,low
helpers-extraction-workers,zh-CN,career-path,medium
helpers-extraction-workers,zh-CN,skills,medium
helpers-extraction-workers,zh-CN,AI-impact,low
helpers-extraction-workers,zh-CN,fit,low
helpers-extraction-workers,zh-CN,adjacent,low
helpers-extraction-workers,zh-CN,education,low
helpers-extraction-workers,zh-CN,certification,low
helpers-extraction-workers,en,what-is,high
helpers-extraction-workers,en,salary,low
helpers-extraction-workers,en,career-path,medium
helpers-extraction-workers,en,skills,medium
helpers-extraction-workers,en,AI-impact,low
helpers-extraction-workers,en,fit,low
helpers-extraction-workers,en,adjacent,low
helpers-extraction-workers,en,education,low
helpers-extraction-workers,en,certification,low
helpers-installation-maintenance-and-repair-workers,zh-CN,what-is,high
helpers-installation-maintenance-and-repair-workers,zh-CN,salary,low
helpers-installation-maintenance-and-repair-workers,zh-CN,career-path,medium
helpers-installation-maintenance-and-repair-workers,zh-CN,skills,medium
helpers-installation-maintenance-and-repair-workers,zh-CN,AI-impact,low
helpers-installation-maintenance-and-repair-workers,zh-CN,fit,low
helpers-installation-maintenance-and-repair-workers,zh-CN,adjacent,low
helpers-installation-maintenance-and-repair-workers,zh-CN,education,low
helpers-installation-maintenance-and-repair-workers,zh-CN,certification,low
helpers-installation-maintenance-and-repair-workers,en,what-is,high
helpers-installation-maintenance-and-repair-workers,en,salary,low
helpers-installation-maintenance-and-repair-workers,en,career-path,medium
helpers-installation-maintenance-and-repair-workers,en,skills,medium
helpers-installation-maintenance-and-repair-workers,en,AI-impact,low
helpers-installation-maintenance-and-repair-workers,en,fit,low
helpers-installation-maintenance-and-repair-workers,en,adjacent,low
helpers-installation-maintenance-and-repair-workers,en,education,low
helpers-installation-maintenance-and-repair-workers,en,certification,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,what-is,high
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,salary,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,career-path,medium
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,skills,medium
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,AI-impact,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,fit,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,adjacent,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,education,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,zh-CN,certification,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,what-is,high
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,salary,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,career-path,medium
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,skills,medium
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,AI-impact,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,fit,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,adjacent,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,education,low
helpers-painters-paperhangers-plasterers-and-stucco-masons,en,certification,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,what-is,high
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,salary,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,career-path,medium
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,skills,medium
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,AI-impact,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,fit,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,adjacent,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,education,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,zh-CN,certification,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,what-is,high
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,salary,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,career-path,medium
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,skills,medium
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,AI-impact,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,fit,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,adjacent,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,education,low
helpers-pipelayers-plumbers-pipefitters-and-steamfitters,en,certification,low
helpers-production-workers,zh-CN,what-is,high
helpers-production-workers,zh-CN,salary,low
helpers-production-workers,zh-CN,career-path,medium
helpers-production-workers,zh-CN,skills,medium
helpers-production-workers,zh-CN,AI-impact,low
helpers-production-workers,zh-CN,fit,low
helpers-production-workers,zh-CN,adjacent,low
helpers-production-workers,zh-CN,education,low
helpers-production-workers,zh-CN,certification,low
helpers-production-workers,en,what-is,high
helpers-production-workers,en,salary,low
helpers-production-workers,en,career-path,medium
helpers-production-workers,en,skills,medium
helpers-production-workers,en,AI-impact,low
helpers-production-workers,en,fit,low
helpers-production-workers,en,adjacent,low
helpers-production-workers,en,education,low
helpers-production-workers,en,certification,low
helpers-roofers,zh-CN,what-is,high
helpers-roofers,zh-CN,salary,low
helpers-roofers,zh-CN,career-path,medium
helpers-roofers,zh-CN,skills,medium
helpers-roofers,zh-CN,AI-impact,low
helpers-roofers,zh-CN,fit,low
helpers-roofers,zh-CN,adjacent,low
helpers-roofers,zh-CN,education,low
helpers-roofers,zh-CN,certification,low
helpers-roofers,en,what-is,high
helpers-roofers,en,salary,low
helpers-roofers,en,career-path,medium
helpers-roofers,en,skills,medium
helpers-roofers,en,AI-impact,low
helpers-roofers,en,fit,low
helpers-roofers,en,adjacent,low
helpers-roofers,en,education,low
helpers-roofers,en,certification,low
high-school-teachers,zh-CN,what-is,high
high-school-teachers,zh-CN,salary,low
high-school-teachers,zh-CN,career-path,medium
high-school-teachers,zh-CN,skills,medium
high-school-teachers,zh-CN,AI-impact,low
high-school-teachers,zh-CN,fit,low
high-school-teachers,zh-CN,adjacent,low
high-school-teachers,zh-CN,education,low
high-school-teachers,zh-CN,certification,low
high-school-teachers,en,what-is,high
high-school-teachers,en,salary,low
high-school-teachers,en,career-path,medium
high-school-teachers,en,skills,medium
high-school-teachers,en,AI-impact,low
high-school-teachers,en,fit,low
high-school-teachers,en,adjacent,low
high-school-teachers,en,education,low
high-school-teachers,en,certification,low
highway-maintenance-workers,zh-CN,what-is,high
highway-maintenance-workers,zh-CN,salary,low
highway-maintenance-workers,zh-CN,career-path,medium
highway-maintenance-workers,zh-CN,skills,medium
highway-maintenance-workers,zh-CN,AI-impact,low
highway-maintenance-workers,zh-CN,fit,low
highway-maintenance-workers,zh-CN,adjacent,low
highway-maintenance-workers,zh-CN,education,low
highway-maintenance-workers,zh-CN,certification,low
highway-maintenance-workers,en,what-is,high
highway-maintenance-workers,en,salary,low
highway-maintenance-workers,en,career-path,medium
highway-maintenance-workers,en,skills,medium
highway-maintenance-workers,en,AI-impact,low
highway-maintenance-workers,en,fit,low
highway-maintenance-workers,en,adjacent,low
highway-maintenance-workers,en,education,low
highway-maintenance-workers,en,certification,low
histology-technicians,zh-CN,what-is,high
histology-technicians,zh-CN,salary,low
histology-technicians,zh-CN,career-path,medium
histology-technicians,zh-CN,skills,medium
histology-technicians,zh-CN,AI-impact,low
histology-technicians,zh-CN,fit,low
histology-technicians,zh-CN,adjacent,low
histology-technicians,zh-CN,education,low
histology-technicians,zh-CN,certification,low
histology-technicians,en,what-is,high
histology-technicians,en,salary,low
histology-technicians,en,career-path,medium
histology-technicians,en,skills,medium
histology-technicians,en,AI-impact,low
histology-technicians,en,fit,low
histology-technicians,en,adjacent,low
histology-technicians,en,education,low
histology-technicians,en,certification,low
historians,zh-CN,what-is,high
historians,zh-CN,salary,low
historians,zh-CN,career-path,medium
historians,zh-CN,skills,medium
historians,zh-CN,AI-impact,low
historians,zh-CN,fit,low
historians,zh-CN,adjacent,low
historians,zh-CN,education,low
historians,zh-CN,certification,low
historians,en,what-is,high
historians,en,salary,low
historians,en,career-path,medium
historians,en,skills,medium
historians,en,AI-impact,low
historians,en,fit,low
historians,en,adjacent,low
historians,en,education,low
historians,en,certification,low
history-teachers-postsecondary,zh-CN,what-is,high
history-teachers-postsecondary,zh-CN,salary,low
history-teachers-postsecondary,zh-CN,career-path,medium
history-teachers-postsecondary,zh-CN,skills,medium
history-teachers-postsecondary,zh-CN,AI-impact,low
history-teachers-postsecondary,zh-CN,fit,low
history-teachers-postsecondary,zh-CN,adjacent,low
history-teachers-postsecondary,zh-CN,education,low
history-teachers-postsecondary,zh-CN,certification,low
history-teachers-postsecondary,en,what-is,high
history-teachers-postsecondary,en,salary,low
history-teachers-postsecondary,en,career-path,medium
history-teachers-postsecondary,en,skills,medium
history-teachers-postsecondary,en,AI-impact,low
history-teachers-postsecondary,en,fit,low
history-teachers-postsecondary,en,adjacent,low
history-teachers-postsecondary,en,education,low
history-teachers-postsecondary,en,certification,low
histotechnologists,zh-CN,what-is,high
histotechnologists,zh-CN,salary,low
histotechnologists,zh-CN,career-path,medium
histotechnologists,zh-CN,skills,medium
histotechnologists,zh-CN,AI-impact,low
histotechnologists,zh-CN,fit,low
histotechnologists,zh-CN,adjacent,low
histotechnologists,zh-CN,education,low
histotechnologists,zh-CN,certification,low
histotechnologists,en,what-is,high
histotechnologists,en,salary,low
histotechnologists,en,career-path,medium
histotechnologists,en,skills,medium
histotechnologists,en,AI-impact,low
histotechnologists,en,fit,low
histotechnologists,en,adjacent,low
histotechnologists,en,education,low
histotechnologists,en,certification,low
hoist-and-winch-operators,zh-CN,what-is,high
hoist-and-winch-operators,zh-CN,salary,low
hoist-and-winch-operators,zh-CN,career-path,medium
hoist-and-winch-operators,zh-CN,skills,medium
hoist-and-winch-operators,zh-CN,AI-impact,low
hoist-and-winch-operators,zh-CN,fit,low
hoist-and-winch-operators,zh-CN,adjacent,low
hoist-and-winch-operators,zh-CN,education,low
hoist-and-winch-operators,zh-CN,certification,low
hoist-and-winch-operators,en,what-is,high
hoist-and-winch-operators,en,salary,low
hoist-and-winch-operators,en,career-path,medium
hoist-and-winch-operators,en,skills,medium
hoist-and-winch-operators,en,AI-impact,low
hoist-and-winch-operators,en,fit,low
hoist-and-winch-operators,en,adjacent,low
hoist-and-winch-operators,en,education,low
hoist-and-winch-operators,en,certification,low
home-appliance-repairers,zh-CN,what-is,high
home-appliance-repairers,zh-CN,salary,low
home-appliance-repairers,zh-CN,career-path,medium
home-appliance-repairers,zh-CN,skills,medium
home-appliance-repairers,zh-CN,AI-impact,low
home-appliance-repairers,zh-CN,fit,low
home-appliance-repairers,zh-CN,adjacent,low
home-appliance-repairers,zh-CN,education,low
home-appliance-repairers,zh-CN,certification,low
home-appliance-repairers,en,what-is,high
home-appliance-repairers,en,salary,low
home-appliance-repairers,en,career-path,medium
home-appliance-repairers,en,skills,medium
home-appliance-repairers,en,AI-impact,low
home-appliance-repairers,en,fit,low
home-appliance-repairers,en,adjacent,low
home-appliance-repairers,en,education,low
home-appliance-repairers,en,certification,low
home-health-aides,zh-CN,what-is,high
home-health-aides,zh-CN,salary,low
home-health-aides,zh-CN,career-path,medium
home-health-aides,zh-CN,skills,medium
home-health-aides,zh-CN,AI-impact,low
home-health-aides,zh-CN,fit,low
home-health-aides,zh-CN,adjacent,low
home-health-aides,zh-CN,education,low
home-health-aides,zh-CN,certification,low
home-health-aides,en,what-is,high
home-health-aides,en,salary,low
home-health-aides,en,career-path,medium
home-health-aides,en,skills,medium
home-health-aides,en,AI-impact,low
home-health-aides,en,fit,low
home-health-aides,en,adjacent,low
home-health-aides,en,education,low
home-health-aides,en,certification,low
home-health-aides-and-personal-care-aides,zh-CN,what-is,high
home-health-aides-and-personal-care-aides,zh-CN,salary,low
home-health-aides-and-personal-care-aides,zh-CN,career-path,medium
home-health-aides-and-personal-care-aides,zh-CN,skills,medium
home-health-aides-and-personal-care-aides,zh-CN,AI-impact,low
home-health-aides-and-personal-care-aides,zh-CN,fit,low
home-health-aides-and-personal-care-aides,zh-CN,adjacent,low
home-health-aides-and-personal-care-aides,zh-CN,education,low
home-health-aides-and-personal-care-aides,zh-CN,certification,low
home-health-aides-and-personal-care-aides,en,what-is,high
home-health-aides-and-personal-care-aides,en,salary,low
home-health-aides-and-personal-care-aides,en,career-path,medium
home-health-aides-and-personal-care-aides,en,skills,medium
home-health-aides-and-personal-care-aides,en,AI-impact,low
home-health-aides-and-personal-care-aides,en,fit,low
home-health-aides-and-personal-care-aides,en,adjacent,low
home-health-aides-and-personal-care-aides,en,education,low
home-health-aides-and-personal-care-aides,en,certification,low
hospitalists,zh-CN,what-is,high
hospitalists,zh-CN,salary,low
hospitalists,zh-CN,career-path,medium
hospitalists,zh-CN,skills,medium
hospitalists,zh-CN,AI-impact,low
hospitalists,zh-CN,fit,low
hospitalists,zh-CN,adjacent,low
hospitalists,zh-CN,education,low
hospitalists,zh-CN,certification,low
hospitalists,en,what-is,high
hospitalists,en,salary,low
hospitalists,en,career-path,medium
hospitalists,en,skills,medium
hospitalists,en,AI-impact,low
hospitalists,en,fit,low
hospitalists,en,adjacent,low
hospitalists,en,education,low
hospitalists,en,certification,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,what-is,high
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,salary,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,career-path,medium
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,skills,medium
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,AI-impact,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,fit,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,adjacent,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,education,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,zh-CN,certification,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,what-is,high
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,salary,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,career-path,medium
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,skills,medium
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,AI-impact,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,fit,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,adjacent,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,education,low
hosts-and-hostesses-restaurant-lounge-and-coffee-shop,en,certification,low
hotel-motel-and-resort-desk-clerks,zh-CN,what-is,high
hotel-motel-and-resort-desk-clerks,zh-CN,salary,low
hotel-motel-and-resort-desk-clerks,zh-CN,career-path,medium
hotel-motel-and-resort-desk-clerks,zh-CN,skills,medium
hotel-motel-and-resort-desk-clerks,zh-CN,AI-impact,low
hotel-motel-and-resort-desk-clerks,zh-CN,fit,low
hotel-motel-and-resort-desk-clerks,zh-CN,adjacent,low
hotel-motel-and-resort-desk-clerks,zh-CN,education,low
hotel-motel-and-resort-desk-clerks,zh-CN,certification,low
hotel-motel-and-resort-desk-clerks,en,what-is,high
hotel-motel-and-resort-desk-clerks,en,salary,low
hotel-motel-and-resort-desk-clerks,en,career-path,medium
hotel-motel-and-resort-desk-clerks,en,skills,medium
hotel-motel-and-resort-desk-clerks,en,AI-impact,low
hotel-motel-and-resort-desk-clerks,en,fit,low
hotel-motel-and-resort-desk-clerks,en,adjacent,low
hotel-motel-and-resort-desk-clerks,en,education,low
hotel-motel-and-resort-desk-clerks,en,certification,low
human-factors-engineers-and-ergonomists,zh-CN,what-is,high
human-factors-engineers-and-ergonomists,zh-CN,salary,low
human-factors-engineers-and-ergonomists,zh-CN,career-path,medium
human-factors-engineers-and-ergonomists,zh-CN,skills,medium
human-factors-engineers-and-ergonomists,zh-CN,AI-impact,low
human-factors-engineers-and-ergonomists,zh-CN,fit,low
human-factors-engineers-and-ergonomists,zh-CN,adjacent,low
human-factors-engineers-and-ergonomists,zh-CN,education,low
human-factors-engineers-and-ergonomists,zh-CN,certification,low
human-factors-engineers-and-ergonomists,en,what-is,high
human-factors-engineers-and-ergonomists,en,salary,low
human-factors-engineers-and-ergonomists,en,career-path,medium
human-factors-engineers-and-ergonomists,en,skills,medium
human-factors-engineers-and-ergonomists,en,AI-impact,low
human-factors-engineers-and-ergonomists,en,fit,low
human-factors-engineers-and-ergonomists,en,adjacent,low
human-factors-engineers-and-ergonomists,en,education,low
human-factors-engineers-and-ergonomists,en,certification,low
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,what-is,high
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,salary,low
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,career-path,medium
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,skills,medium
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,AI-impact,low
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,fit,low
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,adjacent,low
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,education,low
human-resources-assistants-except-payroll-and-timekeeping,zh-CN,certification,low
human-resources-assistants-except-payroll-and-timekeeping,en,what-is,high
human-resources-assistants-except-payroll-and-timekeeping,en,salary,low
human-resources-assistants-except-payroll-and-timekeeping,en,career-path,medium
human-resources-assistants-except-payroll-and-timekeeping,en,skills,medium
human-resources-assistants-except-payroll-and-timekeeping,en,AI-impact,low
human-resources-assistants-except-payroll-and-timekeeping,en,fit,low
human-resources-assistants-except-payroll-and-timekeeping,en,adjacent,low
human-resources-assistants-except-payroll-and-timekeeping,en,education,low
human-resources-assistants-except-payroll-and-timekeeping,en,certification,low
human-resources-managers,zh-CN,what-is,high
human-resources-managers,zh-CN,salary,low
human-resources-managers,zh-CN,career-path,medium
human-resources-managers,zh-CN,skills,medium
human-resources-managers,zh-CN,AI-impact,low
human-resources-managers,zh-CN,fit,low
human-resources-managers,zh-CN,adjacent,low
human-resources-managers,zh-CN,education,low
human-resources-managers,zh-CN,certification,low
human-resources-managers,en,what-is,high
human-resources-managers,en,salary,low
human-resources-managers,en,career-path,medium
human-resources-managers,en,skills,medium
human-resources-managers,en,AI-impact,low
human-resources-managers,en,fit,low
human-resources-managers,en,adjacent,low
human-resources-managers,en,education,low
human-resources-managers,en,certification,low
human-resources-specialists,zh-CN,what-is,high
human-resources-specialists,zh-CN,salary,low
human-resources-specialists,zh-CN,career-path,medium
human-resources-specialists,zh-CN,skills,medium
human-resources-specialists,zh-CN,AI-impact,low
human-resources-specialists,zh-CN,fit,low
human-resources-specialists,zh-CN,adjacent,low
human-resources-specialists,zh-CN,education,low
human-resources-specialists,zh-CN,certification,low
human-resources-specialists,en,what-is,high
human-resources-specialists,en,salary,low
human-resources-specialists,en,career-path,medium
human-resources-specialists,en,skills,medium
human-resources-specialists,en,AI-impact,low
human-resources-specialists,en,fit,low
human-resources-specialists,en,adjacent,low
human-resources-specialists,en,education,low
human-resources-specialists,en,certification,low
hydroelectric-plant-technicians,zh-CN,what-is,high
hydroelectric-plant-technicians,zh-CN,salary,low
hydroelectric-plant-technicians,zh-CN,career-path,medium
hydroelectric-plant-technicians,zh-CN,skills,medium
hydroelectric-plant-technicians,zh-CN,AI-impact,low
hydroelectric-plant-technicians,zh-CN,fit,low
hydroelectric-plant-technicians,zh-CN,adjacent,low
hydroelectric-plant-technicians,zh-CN,education,low
hydroelectric-plant-technicians,zh-CN,certification,low
hydroelectric-plant-technicians,en,what-is,high
hydroelectric-plant-technicians,en,salary,low
hydroelectric-plant-technicians,en,career-path,medium
hydroelectric-plant-technicians,en,skills,medium
hydroelectric-plant-technicians,en,AI-impact,low
hydroelectric-plant-technicians,en,fit,low
hydroelectric-plant-technicians,en,adjacent,low
hydroelectric-plant-technicians,en,education,low
hydroelectric-plant-technicians,en,certification,low
hydroelectric-production-managers,zh-CN,what-is,high
hydroelectric-production-managers,zh-CN,salary,low
hydroelectric-production-managers,zh-CN,career-path,medium
hydroelectric-production-managers,zh-CN,skills,medium
hydroelectric-production-managers,zh-CN,AI-impact,low
hydroelectric-production-managers,zh-CN,fit,low
hydroelectric-production-managers,zh-CN,adjacent,low
hydroelectric-production-managers,zh-CN,education,low
hydroelectric-production-managers,zh-CN,certification,low
hydroelectric-production-managers,en,what-is,high
hydroelectric-production-managers,en,salary,low
hydroelectric-production-managers,en,career-path,medium
hydroelectric-production-managers,en,skills,medium
hydroelectric-production-managers,en,AI-impact,low
hydroelectric-production-managers,en,fit,low
hydroelectric-production-managers,en,adjacent,low
hydroelectric-production-managers,en,education,low
hydroelectric-production-managers,en,certification,low
hydrologic-technicians,zh-CN,what-is,high
hydrologic-technicians,zh-CN,salary,low
hydrologic-technicians,zh-CN,career-path,medium
hydrologic-technicians,zh-CN,skills,medium
hydrologic-technicians,zh-CN,AI-impact,low
hydrologic-technicians,zh-CN,fit,low
hydrologic-technicians,zh-CN,adjacent,low
hydrologic-technicians,zh-CN,education,low
hydrologic-technicians,zh-CN,certification,low
hydrologic-technicians,en,what-is,high
hydrologic-technicians,en,salary,low
hydrologic-technicians,en,career-path,medium
hydrologic-technicians,en,skills,medium
hydrologic-technicians,en,AI-impact,low
hydrologic-technicians,en,fit,low
hydrologic-technicians,en,adjacent,low
hydrologic-technicians,en,education,low
hydrologic-technicians,en,certification,low
hydrologists,zh-CN,what-is,high
hydrologists,zh-CN,salary,low
hydrologists,zh-CN,career-path,medium
hydrologists,zh-CN,skills,medium
hydrologists,zh-CN,AI-impact,low
hydrologists,zh-CN,fit,low
hydrologists,zh-CN,adjacent,low
hydrologists,zh-CN,education,low
hydrologists,zh-CN,certification,low
hydrologists,en,what-is,high
hydrologists,en,salary,low
hydrologists,en,career-path,medium
hydrologists,en,skills,medium
hydrologists,en,AI-impact,low
hydrologists,en,fit,low
hydrologists,en,adjacent,low
hydrologists,en,education,low
hydrologists,en,certification,low
industrial-designers,zh-CN,what-is,high
industrial-designers,zh-CN,salary,low
industrial-designers,zh-CN,career-path,medium
industrial-designers,zh-CN,skills,medium
industrial-designers,zh-CN,AI-impact,low
industrial-designers,zh-CN,fit,low
industrial-designers,zh-CN,adjacent,low
industrial-designers,zh-CN,education,low
industrial-designers,zh-CN,certification,low
industrial-designers,en,what-is,high
industrial-designers,en,salary,low
industrial-designers,en,career-path,medium
industrial-designers,en,skills,medium
industrial-designers,en,AI-impact,low
industrial-designers,en,fit,low
industrial-designers,en,adjacent,low
industrial-designers,en,education,low
industrial-designers,en,certification,low
industrial-ecologists,zh-CN,what-is,high
industrial-ecologists,zh-CN,salary,low
industrial-ecologists,zh-CN,career-path,medium
industrial-ecologists,zh-CN,skills,medium
industrial-ecologists,zh-CN,AI-impact,low
industrial-ecologists,zh-CN,fit,low
industrial-ecologists,zh-CN,adjacent,low
industrial-ecologists,zh-CN,education,low
industrial-ecologists,zh-CN,certification,low
industrial-ecologists,en,what-is,high
industrial-ecologists,en,salary,low
industrial-ecologists,en,career-path,medium
industrial-ecologists,en,skills,medium
industrial-ecologists,en,AI-impact,low
industrial-ecologists,en,fit,low
industrial-ecologists,en,adjacent,low
industrial-ecologists,en,education,low
industrial-ecologists,en,certification,low
industrial-engineering-technicians,zh-CN,what-is,high
industrial-engineering-technicians,zh-CN,salary,low
industrial-engineering-technicians,zh-CN,career-path,medium
industrial-engineering-technicians,zh-CN,skills,medium
industrial-engineering-technicians,zh-CN,AI-impact,low
industrial-engineering-technicians,zh-CN,fit,low
industrial-engineering-technicians,zh-CN,adjacent,low
industrial-engineering-technicians,zh-CN,education,low
industrial-engineering-technicians,zh-CN,certification,low
industrial-engineering-technicians,en,what-is,high
industrial-engineering-technicians,en,salary,low
industrial-engineering-technicians,en,career-path,medium
industrial-engineering-technicians,en,skills,medium
industrial-engineering-technicians,en,AI-impact,low
industrial-engineering-technicians,en,fit,low
industrial-engineering-technicians,en,adjacent,low
industrial-engineering-technicians,en,education,low
industrial-engineering-technicians,en,certification,low
industrial-engineers,zh-CN,what-is,high
industrial-engineers,zh-CN,salary,low
industrial-engineers,zh-CN,career-path,medium
industrial-engineers,zh-CN,skills,medium
industrial-engineers,zh-CN,AI-impact,low
industrial-engineers,zh-CN,fit,low
industrial-engineers,zh-CN,adjacent,low
industrial-engineers,zh-CN,education,low
industrial-engineers,zh-CN,certification,low
industrial-engineers,en,what-is,high
industrial-engineers,en,salary,low
industrial-engineers,en,career-path,medium
industrial-engineers,en,skills,medium
industrial-engineers,en,AI-impact,low
industrial-engineers,en,fit,low
industrial-engineers,en,adjacent,low
industrial-engineers,en,education,low
industrial-engineers,en,certification,low
industrial-machinery-mechanics,zh-CN,what-is,high
industrial-machinery-mechanics,zh-CN,salary,low
industrial-machinery-mechanics,zh-CN,career-path,medium
industrial-machinery-mechanics,zh-CN,skills,medium
industrial-machinery-mechanics,zh-CN,AI-impact,low
industrial-machinery-mechanics,zh-CN,fit,low
industrial-machinery-mechanics,zh-CN,adjacent,low
industrial-machinery-mechanics,zh-CN,education,low
industrial-machinery-mechanics,zh-CN,certification,low
industrial-machinery-mechanics,en,what-is,high
industrial-machinery-mechanics,en,salary,low
industrial-machinery-mechanics,en,career-path,medium
industrial-machinery-mechanics,en,skills,medium
industrial-machinery-mechanics,en,AI-impact,low
industrial-machinery-mechanics,en,fit,low
industrial-machinery-mechanics,en,adjacent,low
industrial-machinery-mechanics,en,education,low
industrial-machinery-mechanics,en,certification,low
industrial-machinery-mechanics-and-maintenance-workers-and-millwrights,zh-CN,what-is,high
industrial-machinery-mechanics-and-maintenance-workers-and-millwrights,zh-CN,salary,low
industrial-machinery-mechanics-and-maintenance-workers-and-millwrights,zh-CN,career-path,medium
