"slug","english","current_zh","has_detail","index","release","reason","suggested_zh","decision","status"
"teaching-assistants-postsecondary","Teaching Assistants, Postsecondary","助理、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校教学助理","edit","edit"
"telephone-operators","Telephone Operators","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","电话接线员","edit","edit"
"therapists-all-other","Therapists, All Other","治疗师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","其他治疗师","edit","edit"
"traffic-technicians","Traffic Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","交通技术员","edit","edit"
"validation-engineers","Validation Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","验证工程师","edit","edit"
"video-game-designers","Video Game Designers","设计师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","电子游戏设计师","edit","edit"
"waiters-and-waitresses","Waiters and waitresses","服务员","true","indexable","public_detail_indexable","too_short_generic_zh;bare_generic_role","餐厅服务员","edit","edit_detail_generic"
"watch-and-clock-repairers","Watch And Clock Repairers","钟表","false","noindex","directory_draft_pending_detail","too_short_generic_zh","钟表维修工","edit","edit"
"water-resource-specialists","Water Resource Specialists","专员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","水资源专员","edit","edit"
"water-wastewater-engineers","Water/Wastewater Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","给排水与废水工程师","edit","edit"
"web-and-digital-interface-designers","Web And Digital Interface Designers","设计师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","网页与数字界面设计师","edit","edit"
"wind-energy-development-managers","Wind Energy Development Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","风能开发经理","edit","edit"
"wind-energy-engineers","Wind Energy Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","风能工程师","edit","edit"
"wind-energy-operations-managers","Wind Energy Operations Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","风能运营经理","edit","edit"
"wind-turbine-service-technicians","Wind Turbine Service Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","风力涡轮机服务技术员","edit","edit"
